ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE												
SMc02471	ABC transporter substrate-binding protein(SM2011_RS29990)	Sinorhizobium meliloti 2011		GO:0042597~periplasmic space,		IPR006059:Bacterial extracellular solute-binding, family 1,			KW-0813~Transport,	KW-0574~Periplasm,	KW-0175~Coiled coil,KW-0732~Signal,																
SM_b21274	ABC transporter, permease(SM_b21274)	Sinorhizobium meliloti 1021	GO:0055085~transmembrane transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR000515:Binding-protein-dependent transport systems inner membrane component,			KW-0813~Transport,	KW-0472~Membrane,					DOMAIN:ABC transmembrane type-1,TRANSMEM:Helical,												
SMc02575	ATP-dependent protease subunit HslV(hslV)	Sinorhizobium meliloti 1021	GO:0051603~proteolysis involved in cellular protein catabolic process,	GO:0005839~proteasome core complex,GO:0009376~HslUV protease complex,	GO:0004298~threonine-type endopeptidase activity,GO:0046872~metal ion binding,	IPR001353:Proteasome, subunit alpha/beta,IPR022281:ATP-dependent protease, HslV subunit,IPR023333:Proteasome B-type subunit,				KW-0963~Cytoplasm,		KW-0479~Metal-binding,KW-0915~Sodium,	KW-0021~Allosteric enzyme,KW-0378~Hydrolase,KW-0645~Protease,KW-0888~Threonine protease,		METAL:Sodium	 via carbonyl oxygen,											
SMa1103	Adenylate/guanylate cyclase(cyaP)	Sinorhizobium meliloti 1021	GO:0009190~cyclic nucleotide biosynthetic process,GO:0035556~intracellular signal transduction,	GO:0016021~integral component of membrane,	GO:0004016~adenylate cyclase activity,	IPR001054:Adenylyl cyclase class-3/4/guanylyl cyclase,		SM00044:CYCc,		KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0456~Lyase,		DOMAIN:Guanylate cyclase,TRANSMEM:Helical,												
SMc00277	Aminotran_5 domain-containing protein(SMc00277)	Sinorhizobium meliloti 1021			GO:0003824~catalytic activity,	IPR000192:Aminotransferase, class V/Cysteine desulfurase,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,						KW-0663~Pyridoxal phosphate,			DOMAIN:Aminotran_5,												
SMa1822	AraC family transcriptional regulator(SM2011_RS05020)	Sinorhizobium meliloti 2011			GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR009057:Homeodomain-like,IPR018060:DNA binding HTH domain, AraC-type,IPR018062:HTH domain AraC-type, conserved site,IPR020449:Transcription regulator HTH, AraC- type,		SM00342:HTH_ARAC,					KW-0238~DNA-binding,		DOMAIN:HTH araC/xylS-type,REGION:Disordered,												
SMa1153	BON domain-containing protein(SM2011_RS03140)	Sinorhizobium meliloti 2011				IPR007055:BON domain,IPR014004:Transport-associated and nodulation domain, bacteria,		SM00749:BON,							DOMAIN:BON,												
SM_b20725	C4-dicarboxylate ABC transporter(C770_RS26665)	Sinorhizobium meliloti GR4		GO:0016021~integral component of membrane,		IPR009936:Protein of unknown function DUF1468,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,												
SM_b20611	C4-dicarboxylate transporter(C770_RS26250)	Sinorhizobium meliloti GR4	GO:0006835~dicarboxylic acid transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0015293~symporter activity,	IPR001991:Sodium:dicarboxylate symporter,IPR018107:Sodium:dicarboxylate symporter, conserved site,IPR023954:C4-dicarboxylate transport protein,			KW-0769~Symport,KW-0813~Transport,	KW-0472~Membrane,KW-0997~Cell inner membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TOPO_DOM:Cytoplasmic,TOPO_DOM:Periplasmic,TRANSMEM:Helical,TRANSMEM:Helical	 Name=1,TRANSMEM:Helical	 Name=10,TRANSMEM:Helical	 Name=11,TRANSMEM:Helical	 Name=12,TRANSMEM:Helical	 Name=2,TRANSMEM:Helical	 Name=3,TRANSMEM:Helical	 Name=4,TRANSMEM:Helical	 Name=5,TRANSMEM:Helical	 Name=6,TRANSMEM:Helical	 Name=7,TRANSMEM:Helical	 Name=8,TRANSMEM:Helical	 Name=9,
SMc02243	CAP domain-containing protein(SM2011_RS17085)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR014044:CAP domain,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				DOMAIN:SCP,TRANSMEM:Helical,												
SMa1288	Carboxylase(SMa1288)	Sinorhizobium meliloti 1021			GO:0016831~carboxy-lyase activity,	IPR002830:UbiD decarboxylyase family,																					
SMa1087	Cation transport ATPase(SMa1087)	Sinorhizobium meliloti 1021		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0005524~ATP binding,GO:0019829~cation-transporting ATPase activity,GO:0046872~metal ion binding,	IPR001757:Cation-transporting P-type ATPase,IPR008250:P-type ATPase, A  domain,IPR018303:P-type ATPase, phosphorylation site,IPR023214:HAD-like domain,IPR023298:P-type ATPase,  transmembrane domain,IPR023299:P-type ATPase, cytoplasmic domain N,IPR027256:Cation-transporting P-type ATPase, subfamily IB,				KW-0472~Membrane,		KW-0067~ATP-binding,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-1278~Translocase,		DOMAIN:HMBD,REGION:Disordered,TRANSMEM:Helical,												
SMa1155	Cation transport P-type ATPase(SMa1155)	Sinorhizobium meliloti 1021		GO:0016021~integral component of membrane,	GO:0005524~ATP binding,	IPR001757:Cation-transporting P-type ATPase,IPR004014:Cation-transporting P-type ATPase, N-terminal,IPR006068:Cation-transporting P-type ATPase, C-terminal,IPR008250:P-type ATPase, A  domain,IPR018303:P-type ATPase, phosphorylation site,IPR023214:HAD-like domain,IPR023298:P-type ATPase,  transmembrane domain,IPR023299:P-type ATPase, cytoplasmic domain N,		SM00831:SM00831,		KW-0472~Membrane,	KW-0812~Transmembrane,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-1278~Translocase,		DOMAIN:Cation_ATPase_N,TRANSMEM:Helical,												
SMa1163	Cation transport P-type ATPase(SMa1163)	Sinorhizobium meliloti 1021		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0005524~ATP binding,GO:0019829~cation-transporting ATPase activity,GO:0046872~metal ion binding,	IPR001757:Cation-transporting P-type ATPase,IPR008250:P-type ATPase, A  domain,IPR012312:Haemerythrin/HHE cation-binding motif,IPR018303:P-type ATPase, phosphorylation site,IPR023214:HAD-like domain,IPR023298:P-type ATPase,  transmembrane domain,IPR023299:P-type ATPase, cytoplasmic domain N,IPR027256:Cation-transporting P-type ATPase, subfamily IB,				KW-0472~Membrane,		KW-0067~ATP-binding,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-1278~Translocase,		DOMAIN:Hemerythrin,TRANSMEM:Helical,												
SMa0769	Cbb3-type cytochrome c oxidase subunit(fixP2)	Sinorhizobium meliloti 1021	GO:0006119~oxidative phosphorylation,GO:0006811~ion transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0070469~respiratory chain,	GO:0005506~iron ion binding,GO:0009055~electron carrier activity,GO:0020037~heme binding,	IPR004678:Cytochrome c oxidase cbb3-type, subunit III,IPR008168:Cytochrome c, class IC,IPR009056:Cytochrome c domain,	PIRSF000006:cytochrome c oxidase, cbb3 type, FixP subunit,		KW-0249~Electron transport,KW-0813~Transport,	KW-0472~Membrane,	KW-0677~Repeat,KW-0812~Transmembrane,	KW-0349~Heme,KW-0408~Iron,			BINDING:Heme C 1	 covalent,BINDING:Heme C 2	 covalent,DOMAIN:Cytochrome c,METAL:Iron (heme C 1 axial ligand),METAL:Iron (heme C 2 axial ligand),TRANSMEM:Helical,										
SMa0630	Conserved hypothetical membrane protein(SMa0630)	Sinorhizobium meliloti 1021	GO:0055085~transmembrane transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR006685:Mechanosensitive ion channel MscS,IPR010920:Like-Sm (LSM) domain,IPR011014:Mechanosensitive ion channel MscS, transmembrane-2,IPR011066:Mechanosensitive ion channel MscS, C-terminal,			KW-0346~Stress response,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,				TRANSMEM:Helical,												
SMc01465	CreA family protein(SM2011_RS25315)	Sinorhizobium meliloti 2011				IPR010292:Uncharacterised protein family CreA,	PIRSF003174:protein CreA,				KW-0732~Signal,																
SMa1207	Crp/Fnr family transcriptional regulator(SM2011_RS03285)	Sinorhizobium meliloti 2011	GO:0006355~regulation of transcription, DNA-templated,		GO:0003677~DNA binding,	IPR000595:Cyclic nucleotide-binding domain,IPR012318:Helix-turn-helix motif, Crp-type,IPR014710:RmlC-like jelly roll fold,IPR018490:Cyclic nucleotide-binding-like,		SM00100:cNMP,SM00419:HTH_CRP,					KW-0238~DNA-binding,		DOMAIN:Cyclic nucleotide-binding,DOMAIN:HTH crp-type,												
SMa1170	Cytochrome c domain-containing protein(SMa1170)	Sinorhizobium meliloti 1021			GO:0009055~electron carrier activity,GO:0020037~heme binding,GO:0046872~metal ion binding,	IPR009056:Cytochrome c domain,						KW-0349~Heme,KW-0408~Iron,			DOMAIN:Cytochrome c,												
SMc03167	DHA2 family efflux MFS transporter permease subunit(SM2011_RS29125)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0022857~transmembrane transporter activity,	IPR004638:Drug resistance transporter EmrB/QacA subfamily,IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain,				KW-0472~Membrane,	KW-0812~Transmembrane,				DOMAIN:MFS,TRANSMEM:Helical,												
SM_b20705	DMT family transporter(SM2011_RS13525)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR000620:Drug/metabolite transporter,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				DOMAIN:EamA,TRANSMEM:Helical,												
SM_b20705	DMT transporter permease(C770_RS26765)	Sinorhizobium meliloti GR4		GO:0016021~integral component of membrane,		IPR000620:Drug/metabolite transporter,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				DOMAIN:EamA,TRANSMEM:Helical,												
SMc00821	DUF1127 domain-containing protein(SM2011_RS18225)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR009506:Protein of unknown function DUF1127,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				REGION:Disordered,TRANSMEM:Helical,												
SMc00651	DUF1134 domain-containing protein(SM2011_RS28240)	Sinorhizobium meliloti 2011				IPR008325:Uncharacterised conserved protein UCP033924,	PIRSF033924:uncharacterized conserved protein,				KW-0732~Signal,																
SMc00986	DUF1217 domain-containing protein(SM2011_RS18725)	Sinorhizobium meliloti 2011				IPR010626:Protein of unknown function DUF1217,IPR023157:AGR-C-984p-like domain,																					
SMc03251	DUF1611 domain-containing protein(SM2011_RS30190)	Sinorhizobium meliloti 2011				IPR011669:Protein of unknown function DUF1611,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	PIRSF026760:uncharacterized conserved protein,								DOMAIN:DUF1611,DOMAIN:DUF1611_N,												
SMc01242	DUF1775 domain-containing protein(SM2011_RS22220)	Sinorhizobium meliloti 2011				IPR007410:DR1885-like metal-binding protein,IPR012533:GLE1, N-terminal, bacteria,IPR021174:Uncharacterised conserved protein UCP037139,	PIRSF037139:uncharacterized conserved protein,				KW-0732~Signal,				DOMAIN:DUF1775,												
SMa0604	DUF2092 domain-containing protein(SM2011_RS01640)	Sinorhizobium meliloti 2011				IPR019207:Protein of unknown function DUF2092, periplasmic,	PIRSF012443:periplasmic protein,				KW-0732~Signal,																
SMc00506	DUF2189 domain-containing protein(SM2011_RS23365)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR018692:Protein of unknown function DUF2189,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,												
SMa1256	DUF2249 domain-containing protein(SM2011_RS03425)	Sinorhizobium meliloti 2011				IPR018720:Domain of unknown function DUF2249,									DOMAIN:DUF2249,												
SMa1261	DUF2249 domain-containing protein(SMa1261)	Sinorhizobium meliloti 1021				IPR018720:Domain of unknown function DUF2249,									COMPBIAS:Polar residues,DOMAIN:DUF2249,REGION:Disordered,												
SMc01449	DUF2853 family protein(SM2011_RS25235)	Sinorhizobium meliloti 2011				IPR021274:Protein of unknown function DUF2853,IPR023154:Jann4075-like domain,																					
SMa1089	DUF2933 domain-containing protein(SM2011_RS02975)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR021682:Protein of unknown function DUF2933,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,												
SMa0689	DUF2950 domain-containing protein(SM2011_RS01880)	Sinorhizobium meliloti 2011				IPR021556:Protein of unknown function DUF2950,					KW-0732~Signal,																
SMa0690	DUF3300 domain-containing protein(SM2011_RS01885)	Sinorhizobium meliloti 2011				IPR021728:Protein of unknown function DUF3300,					KW-0732~Signal,				COMPBIAS:Basic residues,COMPBIAS:Polar residues,REGION:Disordered,												
SMc01848	DUF3419 family protein(SM2011_RS25550)	Sinorhizobium meliloti 2011				IPR021829:Protein of unknown function DUF3419,							KW-0808~Transferase,														
SMa1078	DUF378 domain-containing protein(SM2011_RS02945)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR007211:Protein of unknown function DUF378,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,												
SM_b21440	DUF4168 domain-containing protein(SM2011_RS12840)	Sinorhizobium meliloti 2011				IPR025433:Domain of unknown function DUF4168,					KW-0732~Signal,				COMPBIAS:Polar residues,DOMAIN:DUF4168,REGION:Disordered,												
SMa1134	DUF6448 family protein(SM2011_RS03090)	Sinorhizobium meliloti 2011									KW-0732~Signal,																
SMc00014	DUF983 domain-containing protein(SM2011_RS18950)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR009325:Protein of unknown function DUF983,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,												
SMc01366	DUF983 domain-containing protein(SM2011_RS20935)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR009325:Protein of unknown function DUF983,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,												
SM_b21491	DUF992 domain-containing protein(SM2011_RS13080)	Sinorhizobium meliloti 2011				IPR009333:Protein of unknown function DUF992,					KW-0732~Signal,																
SM_b21438	DctP family TRAP transporter solute-binding subunit(SM2011_RS12830)	Sinorhizobium meliloti 2011	GO:0055085~transmembrane transport,	GO:0030288~outer membrane-bounded periplasmic space,		IPR004682:TRAP dicarboxylate transporter,IPR018389:Tripartite ATP-independent periplasmic transporter,	PIRSF006470:C4-dicarboxylate binding protein, DctB type,				KW-0732~Signal,																
SMa0680	Decarboxylase (Lysine, ornithine, arginine)(SMa0680)	Sinorhizobium meliloti 1021	GO:0006520~cellular amino acid metabolic process,	GO:0005737~cytoplasm,	GO:0004586~ornithine decarboxylase activity,GO:0008792~arginine decarboxylase activity,	IPR000310:Orn/Lys/Arg decarboxylase, major domain,IPR005308:Orn/Lys/Arg decarboxylase, N-terminal,IPR008286:Orn/Lys/Arg decarboxylase, C-terminal,IPR011193:Ornithine/lysine/arginine decarboxylase,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,	PIRSF009393:ornithine/lysine/arginine decarboxylase,						KW-0456~Lyase,		DOMAIN:OKR_DC_1,												
SMc00887	EAL domain-containing protein(SM2011_RS18480)	Sinorhizobium meliloti 2011				IPR000160:GGDEF domain,IPR001633:Diguanylate phosphodiesterase, EAL domain,		SM00052:DUF2,SM00267:DUF1,							DOMAIN:EAL,DOMAIN:GGDEF,REGION:Disordered,												
SMc02545	EamA family transporter RarD(rarD)	Sinorhizobium meliloti 2011		GO:0005887~integral component of plasma membrane,		IPR000620:Drug/metabolite transporter,IPR004626:RarD protein,			KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,				DOMAIN:EamA,TRANSMEM:Helical,												
SMc01312	Elongation factor G(fusA)	Sinorhizobium meliloti 1021		GO:0005737~cytoplasm,	GO:0003746~translation elongation factor activity,GO:0003924~GTPase activity,GO:0005525~GTP binding,	IPR000640:Translation elongation factor EFG, V domain,IPR000795:Elongation factor, GTP-binding domain,IPR004161:Translation elongation factor EFTu/EF1A, domain 2,IPR004540:Translation elongation factor EFG/EF2,IPR005225:Small GTP-binding protein domain,IPR005517:Translation elongation factor EFG/EF2, domain IV,IPR009000:Translation elongation/initiation factor/Ribosomal, beta-barrel,IPR009022:Elongation factor G, III-V domain,IPR014721:Ribosomal protein S5 domain 2-type fold, subgroup,IPR020568:Ribosomal protein S5 domain 2-type fold,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00838:SM00838,SM00889:SM00889,	KW-0648~Protein biosynthesis,	KW-0963~Cytoplasm,		KW-0342~GTP-binding,KW-0547~Nucleotide-binding,	KW-0251~Elongation factor,		DOMAIN:tr-type G,NP_BIND:GTP,												
SM_b20943	Exopolysaccharide production protein ExoZ(exoZ)	Sinorhizobium meliloti 1021	GO:0000271~polysaccharide biosynthetic process,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0016747~transferase activity, transferring acyl groups other than amino-acyl groups,	IPR002656:Acyltransferase 3,			KW-0270~Exopolysaccharide synthesis,KW-0536~Nodulation,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,												
SMc02501	F0F1 ATP synthase subunit beta(atpD)	Sinorhizobium meliloti 2011		GO:0005886~plasma membrane,GO:0045261~proton-transporting ATP synthase complex, catalytic core F(1),	GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0046933~proton-transporting ATP synthase activity, rotational mechanism,GO:0046961~proton-transporting ATPase activity, rotational mechanism,	IPR000194:ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain,IPR003593:AAA+ ATPase domain,IPR004100:ATPase, alpha/beta subunit, N-terminal,IPR005722:ATPase, F1 complex, beta subunit,IPR020003:ATPase, alpha/beta subunit, nucleotide-binding domain, active site,IPR024034:ATPase, F1 complex beta subunit/V1 complex, C-terminal,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0066~ATP synthesis,KW-0375~Hydrogen ion transport,KW-0406~Ion transport,KW-0813~Transport,	KW-0139~CF(1),KW-0472~Membrane,KW-0997~Cell inner membrane,KW-1003~Cell membrane,		KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0378~Hydrolase,KW-1278~Translocase,		DOMAIN:AAA,NP_BIND:ATP,REGION:Disordered,												
